Timestamp,Operation,Coin,Price,Momentum,Price Change %,Trading Pair
2024-12-09T01:00:08.057135,SELL,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:08.071649,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.089302,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.105193,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:08.123685,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:08.138955,BUY,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:08.157249,SELL,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:08.173636,BUY,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:08.194486,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.210123,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.231551,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.246414,BUY,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:08.266057,SELL,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:08.280135,BUY,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:08.298602,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.314944,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.333014,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.348645,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.368053,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:08.384222,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.401850,SELL,NEO,11.21,True,4.4734389561975805,NEO[USDT]
2024-12-09T01:00:08.418455,BUY,NEO,11.21,True,4.4734389561975805,NEO[USDT]
2024-12-09T01:00:08.436665,SELL,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:08.453129,BUY,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:08.470463,SELL,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:08.486127,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:08.506175,SELL,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:08.524795,BUY,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:08.542870,SELL,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:08.555486,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
